full_name,h_meters
Luc Mbah a Moute,2.03
Luke Walton,2.03
Michael Ruffin,2.06
Mike Miller,2.03
Nicolas Batum,2.03
Othello Hunter,2.03
Paul Millsap,2.01
Reggie Evans,2.03
Renaldo Balkman,2.03
Rudy Gay,2.03
Shane Battier,2.03
Stephen Jackson,2.03
Thaddeus Young,2.03
Tracy McGrady,2.03
Trevor Ariza,2.03
Udonis Haslem,2.03
Wilson Chandler,2.03
Al Harrington,2.06
Amir Johnson,2.06
Andre Brown,2.06
Andrei Kirilenko,2.06
Antawn Jamison,2.06
Antoine Walker,2.06
Antonio McDyess,2.06
Ben Wallace,2.06
Brian Cook,2.06
Brian Scalabrine,2.06
Brian Skinner,2.06
Carl Landry,2.06
Carlos Boozer,2.06
Cedric Simmons,2.06
Corey Brewer,2.06
D.J. White,2.06
Darius Songaila,2.06
Darnell Jackson,2.06
Darrell Arthur,2.06
David Lee,2.06
David West,2.06
Dominic McGuire,2.06
Donyell Marshall,2.06
Dorell Wright,2.06
Elton Brand,2.06
Glen Davis,2.06
Hakim Warrick,2.06
Ike Diogu,2.06
J.J. Hickson,2.06
Jawad Williams,2.06
Jeff Green,2.03
Joel Anthony,2.06
Josh Powell,2.06
Josh Smith,2.06
Kenyon Martin,2.06
Kevin Durant,2.11
Kris Humphries,2.06
Kurt Thomas,2.06
Louis Amundson,2.06
Luis Scola,2.06
Luol Deng,2.06
Mark Madsen,2.06
Marvin Williams,2.06
Michael Beasley,2.06
Mike Dunleavy,2.06
Richard Hendrix,2.06
Rob Kurz,2.06
Ryan Bowen,2.06
Sean May,2.06
Shawne Williams,2.08
Shelden Williams,2.06
Tayshaun Prince,2.06
Travis Outlaw,2.06
Tyrus Thomas,2.08
Walter Herrmann,2.06
Walter Sharpe,2.06
Zach Randolph,2.06
Adonal Foyle,2.08
Al Horford,2.06
Al Jefferson,2.08
Amar'e Stoudemire,2.08
Anthony Randolph,2.11
Austin Croshere,2.08
Brandan Wright,2.08
Chris Andersen,2.08
Chris Bosh,2.11
Chris Wilcox,2.08
Danilo Gallinari,2.08
Drew Gooden,2.08
Emeka Okafor,2.08
Etan Thomas,2.08
Fabricio Oberto,2.08
Hedo Turkoglu,2.08
Joe Smith,2.08
Josh Boone,2.08
Josh McRoberts,2.08
Kendrick Perkins,2.08
Kevin Love,2.03
Lamar Odom,2.08
Maceo Baston,2.08
Malik Allen,2.08
Marreese Speights,2.08
Matt Bonner,2.08
Melvin Ely,2.08
Nathan Jawai,2.09
Nazr Mohammed,2.08
Nick Collison,2.08
Peja Stojakovic,2.08
Rashard Lewis,2.08
Ronny Turiaf,2.08
Ryan Anderson,2.08
Sean Marks,2.08
Sean Williams,2.08
Shavlik Randolph,2.08
Solomon Jones,2.08
Steve Novak,2.08
Stromile Swift,2.08
Theo Ratliff,2.08
Tim Thomas,2.08
Vladimir Radmanovic,2.08
Anderson Varejao,2.11
Andray Blatche,2.11
Andris Biedrins,2.13
Calvin Booth,2.11
Channing Frye,2.13
Charlie Villanueva,2.11
Dan Gadzuric,2.11
DeAndre Jordan,2.11
Donte Greene,2.11
Dwight Howard,2.08
Eddy Curry,2.13
Erick Dampier,2.11
Hilton Armstrong,2.11
Ian Mahinmi,2.11
Jamaal Magloire,2.11
Jared Jeffries,2.11
Jarron Collins,2.11
Jason Thompson,2.11
Jeff Foster,2.11
Jermaine O'Neal,2.11
Joakim Noah,2.11
Kevin Garnett,2.11
Kwame Brown,2.11
LaMarcus Aldridge,2.11
Lorenzen Wright,2.11
Marcin Gortat,2.11
Marcus Camby,2.11
Mehmet Okur,2.11
Mouhamed Sene,2.13
Paul Davis,2.11
Raef LaFrentz,2.11
Randolph Morris,2.11
Rasheed Wallace,2.11
Samuel Dalembert,2.11
Tim Duncan,2.11
Tony Battie,2.11
Troy Murphy,2.11
Zaza Pachulia,2.11
Aaron Gray,2.13
Alexis Ajinca,2.18
Andrea Bargnani,2.13
Andrew Bogut,2.13
Andrew Bynum,2.13
Brad Miller,2.11
Brendan Haywood,2.13
Brook Lopez,2.16
Chris Kaman,2.13
Chris Mihm,2.13
Darko Milicic,2.13
DeSagana Diop,2.13
Didier Ilunga-Mbenga,2.13
Dirk Nowitzki,2.13
Francisco Elson,2.13
Greg Oden,2.13
JaVale McGee,2.13
Jason Collins,2.13
Jason Smith,2.13
Johan Petro,2.13
Kosta Koufos,2.13
Mark Blount,2.13
Mikki Moore,2.13
Oleksiy Pecherov,2.13
Patrick O'Bryant,2.13
Pau Gasol,2.15
Rasho Nesterovic,2.13
Robin Lopez,2.16
Ryan Hollins,2.13
Spencer Hawes,2.16
Steven Hill,2.13
Steven Hunter,2.13
Yi Jianlian,2.13
Cheikh Samb,2.16
Jerome James,2.16
Joel Przybilla,2.16
Kyrylo Fesenko,2.16
Marc Gasol,2.11
Robert Swift,2.16
Shaquille O'Neal,2.16
Tyson Chandler,2.13
Hamed Haddadi,2.18
Roy Hibbert,2.18
Zydrunas Ilgauskas,2.21
Yao Ming,2.29
