Name,Rating
100-man-nen Chikyuu no Tabi: Bander Book,5.97
"Akai Shouzou: Char, Soshite Frontal e",5.97
Amnesia,5.97
Bai Niao,5.97
Bakuen Campus Guardress,5.97
Bobby ni Kubittake,5.97
Cardfight!! Vanguard: overDress,5.97
Chinzei Hachirou Tametomo,5.97
Circlet Princess,5.97
Code Geass: Hangyaku no Lelouch Picture Drama - Kamen Kokuhaku Taikai,5.97
Cogimyun,5.97
Collar x Malice Movie: Deep Cover,5.97
Da Shi Jie,5.97
Dinosaur Biyori,5.97
Dou Hun Wei Zhi Xuan Yue Qiyuan,5.97
Elmer no Bouken: My Father's Dragon,5.97
Futari no Oujisama,5.97
Garugaku. II: Lucky Stars,5.97
Hallelujah: Unmei no Sentaku,5.97
Haou Taikei Ryuu Knight: Adeu Legend Final,5.97
Hello Kitty no Kieta Santa-san no Boushi,5.97
Hello Kitty no Oyayubi-hime,5.97
Isuca,5.97
Jantama Pong☆ Special,5.97
Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku,5.97
Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life Mini Anime,5.97
Kidou Senshi Gundam 00 CB Chara,5.97
Manga Nippon Mukashibanashi (Movie),5.97
Minna Atsumare! Falcom Gakuen,5.97
MonHun Nikki Girigiri Airou Mura G,5.97
Ange Vierge,5.98
Aruhi no Clamp Gakuen Tanteidan,5.98
Azur Lane Avengers!,5.98
Black Jack: Karte NG Extras,5.98
Bloomy*Cafe,5.98
Caligula,5.98
Catblue: Dynamite,5.98
Choukadou Girl ⅙,5.98
Dallos,5.98
Dosukoi Sushi Zumou,5.98
Flying Witch Petit Special,5.98
Gegege no Kitarou (1985 Movie),5.98
Gunslinger Stratos,5.98
Gunslinger Stratos The Animation: Kikan/Kaze no Yukue,5.98
Happy World!,5.98
Heisei Policemen!!,5.98
Hito Toki Kiryu Ashikaga,5.98
I: Wish You Were Here,5.98
Ji Jia Shou Shen: Baolie Feiche,5.98
Juusou Kikou Dancougar Nova,5.98
Kamigami no Ki,5.98
"Kemeko Deluxe!: Izumi-chan, Fukenkou yo! (Kari)",5.98
Kerokero Keroppi no Daibouken: Fushigi na Mame no Ki,5.98
Kumi to Tulip,5.98
Kutsuya to Kobito,5.98
Lesson XX,5.98
Lovedol: Lovely Idol OVA,5.98
Machikado Mazoku: 2-choume Mini,5.98
Mahoutsukai Jiji,5.98
Maze☆Bakunetsu Jikuu: Tenpen Kyoui no Giant,5.98
Mouse,5.98
Mr. Pen Pen,5.98
Nanami-chan,5.98
Narutaru: Mukuro Naru Hoshi Tama Taru Ko,5.98
Ninja Hattori-kun Plus Perman: Ninja Kaijuu Jippou tai Miracle Tamago,5.98
Ore no Sora Keiji-hen,5.98
Otohime Connection,5.98
Petit! Tokyo Mew Mew New ♡,5.98
Piano,5.98
Protector,5.98
Saishuu Shiken Kujira Progressive,5.98
Sengoku Kitan Youtouden,5.98
Shibai Taroka,5.98
Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi,5.98
Shounen Ashibe: Go! Go! Goma-chan 2,5.98
Sou Xuan Lu Zhi Chen Ling Ji,5.98
Street Fighter IV: Aftermath,5.98
TV Yarou Nanaana: Kaibutsu Kraken wo Oe!,5.98
Tamagotchi Honto no Hanashi,5.98
Tezuka Osamu no Don Dracula,5.98
The Adventures of Hello Kitty & Friends,5.98
The Five Killers,5.98
The iDOLM@STER SideM: Wake Atte Mini! - Shoshi Kantetsu Daisouji!,5.98
Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune Picture Drama,5.98
Uchuu no Kishi Tekkaman Blade OVA: Missing Link,5.98
Usaru-san,5.98
Vampiyan Kids: Pilot,5.98
Vanquished Queens,5.98
Zannen na Ikimono Jiten,5.98
Zuori Qing Kong Pilot,5.98
gdgd Fairies 2 Episode 0,5.98
Akuemon,5.99
Azur Lane Recap,5.99
Bakumatsu Rock: Mystery! Onsen Kaijiken ze yo!!,5.99
Bomberman: Yuuki wo Arigatou - Watashi ga Mimi ni Naru,5.99
Bucchigire!,5.99
Chocomatsu-san: White Day-hen,5.99
Dies Irae: To the Ring Reincarnation,5.99
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu Specials,5.99
Fukuyama Gekijou: Natsu no Himitsu,5.99
Giant Robo Gaiden Ginrei,5.99
Gudetama: Muhоu Chitai de Jiyuu mo Fujiyuu,5.99
Guomin Laogong Dai Huijia,5.99
Guomin Laogong Dai Huijia 3rd Season,5.99
Haou Taikei Ryuu Knight: Adeu Legend II,5.99
Hokuto no Ken: Legend of Heroes,5.99
Holostars★Survival: Oretachi no Kaitaku Seikatsu,5.99
Huckleberry no Bouken (Movie),5.99
Jantama Pong☆ Episode 0,5.99
Kerokko Demetan,5.99
Kiki to Lala no Aoi Tori,5.99
Kishin Houkou Demonbane,5.99
Kusatta Kyoushi no Houteishiki,5.99
K×Drop!!,5.99
Little Nemo Pilot (1987),5.99
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's Mini Picture Drama,5.99
Mitsuwano,5.99
Monster Strike: Katsubou no Hate no Risoukyou,5.99
Mousou Kagaku Series: Wandaba Style,5.99
Neko nanka Yondemo Konai.,5.99
Nekota no Koto ga Kininatte Shikatanai.,5.99
Oh! Super Milk-chan Special,5.99
Ongaku Shoujo (TV),5.99
Ookami Shounen Ken,5.99
Panda no Daibouken,5.99
RabbiTube Mini,5.99
Ryuusei Sentai Musumet,5.99
Seikon no Qwaser II Picture Drama,5.99
Sekai Meisaku Douwa: Oyayubi Hime,5.99
Sengoku☆Paradise Kiwami,5.99
Shin SOS Dai Tokyo Tankentai,5.99
Sore Ike! Anpanman: Minami no Umi wo Sukue!,5.99
Sore Ike! Anpanman: Ruby no Negai,5.99
Sotsugyou: Graduation,5.99
Sugar Bunnies: Taisetsu na Tomodachi e...,5.99
Tales of Crestoria,5.99
Turning Mecard W Season 2,5.99
Twin Bee Paradise,5.99
Urvan,5.99
Virtua Fighter: Costomize Clip,5.99
Wangpai Yushi Di 0 Ji,5.99
Weiß Survive R,5.99
Wooser no Sono Higurashi: Ken to Pants to Wooser to,5.99
11eyes: Momoiro Genmutan,6.0
Adachi-ga Hara,6.0
Bakabon Osomatsu no Karee wo Tazunete Sansenri,6.0
Balala Xiao Mo Xian: Feiyue Cai Ling Bao 2nd Season,6.0
Boruto: Naruto Next Generations,6.0
Cyborg 009,6.0
Cybot Robocchi,6.0
Darkside Blues,6.0
Dash! Yonkurou: Horizon Gundan vs. Dash Gundan,6.0
Fire Emblem Heroes - Book V Ending Movie,6.0
Giniro no Kami no Agito Pilot,6.0
Gorillaman,6.0
Hajimari no Boukensha-tachi: Legend of Crystania,6.0
Hakushon Daimaou 2020,6.0
Hanakappa,6.0
Kashi no Ki Mokku,6.0
Kuuchuu Gunkan Atlantis,6.0
Maze☆Bakunetsu Jikuu,6.0
Meitantei Conan Manner Movie,6.0
