player,total_points
"El Sallaly, Akram",1
"Jenicek, Jiri",1
"Karol, Milos",1
"Ponchet, Matt",1
"T Adachi, Taki",1
"T Akay, Cihan",1
"T Akkoyun, Umut",1
"T Alabdullah, Bader",1
"T Ali Moussa, Aymen Abderrahmene",1
"T Almasi, Alfred",1
"T Alves, Victor",1
"T Amar, Ran",1
"T Ambarzumjan, Edison",1
"T Andic, Aleksandar",1
"T Andreescu, Stefan Adrian",1
"T Arevalo, Isaac Arturo",1
"T Arias, Boris",1
"T Augusto Dos Santos, Ryan",1
"T Baiant, Razvan",1
"T Baroni, Niccolo",1
"T Barr, Elbert",1
"T Basavareddy, Nishesh",1
"T Basic, Nikola",1
"T Basile, Alessio",1
"T Batista, Ricardo",1
"T Bayldon, Blake",1
"T Bellifemine, Alessandro",1
"T Bennani, Karim",1
"T Berkieta, Tomasz",1
"T Bernard, John",1
"T Bhatnagar, Shivank",1
"T Biagiotti, Richard",1
"T Breazu, Vlad Cristian",1
"T Bryde, Trent",1
"T Bugarikj, Berk",1
"T Buldorini, Peter",1
"T Bulus, Christopher",1
"T Burdet, Adrien",1
"T Butler, Samm",1
"T Byers, Loren Thomas",1
"T Cabrera, Miguel Angel",1
"T Campana Lee, Gerard",1
"T Carnevalle, Lucio",1
"T Casanova, Andrin",1
"T Cerny, Matyas",1
"T Chaurasia, Yash",1
"T Chavez Villalpando, Luis Diego",1
"T Chen, Tin",1
"T Chepik, Alexander",1
"T Chessari, Riccardo",1
"T Choo, Suk Hyun",1
"T Cina, Federico",1
"T Coman, Mihai Alexandru",1
"T Cunat, Max",1
"T Cutting, Oscar",1
"T Czaplinski, Tommy",1
"T Dadabaev, Aziz",1
"T Dalmasso, Guillaume",1
"T Dattatray Kurale, Sandesh",1
"T Davila, Esteban",1
"T Davis, James",1
"T De Jonge, Daniel",1
"T De Vincentis, Matteo",1
"T Del Castillo, Pol",1
"T Deleersnyder, Clement",1
"T Dell'Elba, Vito",1
"T Demichelis, Alessio",1
"T Dhokia, Rahul",1
"T Diaz Jalil, Angel",1
"T Donarski, Sid",1
"T Dong, Chen",1
"T Dubinin, Alexey",1
"T Dudun, Igor",1
"T Duhan, Chirag",1
"T Dumitru, Vlad Andrei",1
"T Duncan, Scott",1
"T Einig, Felix",1
"T El Amine, Hamza",1
"T El Mihdawy, Adam",1
"T Eli, Nicolas",1
"T Elicha Navas, Gabriel",1
"T Ernaelsteen, Victor",1
"T Errey, Cooper",1
"T Favero, Lorenzo",1
"T Fellin, Manfred",1
"T Ferguson, Chase",1
"T Fernandez Canovas, Andres",1
"T Ferri, Lorenzo",1
"T Field, Jeremy",1
"T Fitzgerald, Patrick",1
"T Fletchall, Patrick",1
"T Fondriest, Matteo",1
"T Francisco, Luis",1
"T Frawley, James",1
"T Friedler, Asaf",1
"T Frusina, Alexander",1
"T Gandolfi, Giammarco",1
"T Gao, Xin",1
"T Gervail, Gregoire",1
"T Goldberg Alviani, Nicolas Rafael",1
"T Gomaa, Mohamad",1
"T Gorzny, Sebastian",1
"T Gramaticopolo, Biagio",1
"T Grandinetti, Tobia",1
"T Gray, Timothy",1
"T Graziani, Edoardo",1
"T Grinderslev, Anders",1
"T Grynkowski, Piotr",1
"T Hajek, Petr",1
"T Hannestad, Benjamin",1
"T Hansch Mauritzson, Fabian",1
"T Havlicek, Mark",1
"T Heger, Tim",1
"T Hesselmann, Luca",1
"T Hiramatsu, Shinnosuke",1
"T Hodzic, Alen Moritz",1
"T Hollender, Nicolas",1
"T Homberg, Maximilian",1
"T Hoole, Casey",1
"T Hough, David",1
"T Hrazdil, Jan",1
"T Hsu, Jeffrey Chuan En",1
"T Hua, Runhao",1
"T Hubner, Edward",1
"T Hudd, Emile",1
"T Huens, Harold",1
"T Iamachkine, Petr",1
"T Ibragimov, Daniel",1
"T Ibrahim, Hasan",1
"T Ibrakhimov, Rakhimbek",1
"T Inoue, Geni",1
"T Iturbe, Matias",1
"T Ivanov, Mihail",1
"T Ivanov, Saveliy",1
"T Jordan, Phillip",1
"T Jovanovic, Petar",1
"T Jovanovski, Nicholas",1
"T Jurina, Patrik",1
"T Kadiri Hassani, Youssef",1
"T Kalinin, Aleksandr",1
"T Kang, Ku Keon",1
"T Karahan, Atakan",1
"T Karmoussi, Hamza",1
"T Kasemi, Kiyan Santino",1
"T Katuch, Jakub",1
"T Khabibulin, Timur",1
"T Khosla, Rushil",1
"T Kim, Jangjun",1
"T Kiyamov, Timur",1
"T Kobierski, Jan",1
"T Konov, Samuil",1
"T Kulakowski, Mateusz",1
"T Kumar, Pranav",1
"T Kunsuwan, Natthasith",1
"T Kusiewicz, Piotr",1
"T Lagaev, Nick",1
"T Lee, Junhyun",1
"T Leote Prata, Vasco",1
"T Lerby, Christian",1
"T Lin, Ping Chen",1
"T Liokossis, Stefano",1
"T Lis, Mikolaj",1
"T Loccisano, Mike",1
"T Lopez Linquet, Leonardo",1
"T Lucini, Federico",1
"T Luncanu, Petru-Alexandru",1
"T Maia, Hugo",1
"T Malgaroli, Leonardo",1
"T Malik, Ajay",1
"T Marek, Wojciech",1
"T Marinkov, Pavle",1
"T Marino, Pietro",1
"T Markov, Viktor",1
"T Marques, Diogo",1
"T Martinez, Ignacio",1
"T Martinez, Mikel",1
"T Mascarini, Riccardo",1
"T Matsiush, Aliaksey",1
"T Matuszewski, Gabriel",1
"T Maxted, Lui",1
"T Mayo, Keenan",1
"T McDaniel, Marcus",1
"T Mckennon, Maxwell",1
"T Mehra, Rohan",1
"T Menichella, Stefan",1
"T Michalik, Radovan",1
"T Micov, Stefan",1
"T Miklavcic, Luka",1
"T Milicevic, Lazar",1
"T Milicevic, Stefan",1
"T Militi Ribaldi, Andrea",1
"T Minighini, Daniele",1
"T Mirgone, Federico",1
"T Mitjana, Leny",1
"T Moheno, Yahir Emiliano",1
"T Mora Clement, Rodrigo",1
"T Morandais, Jean-Christian",1
"T Mossur, Mykhailo",1
"T Muniz Hidalgo, Antonio",1
"T Murgett, Finn",1
"T Nad, Peter",1
"T Nagel, Arthur",1
"T Nakagawa, Shunsuke",1
"T Nakamura, Ren",1
"T Nakanishi, Seiya",1
"T Neyelov, Mark",1
"T Nguyen, Dac Thien",1
"T Nilaweera, Chathurya",1
"T Onuma, Yujiro",1
"T Orlita, Daniel",1
"T Orynbasar, Islam",1
"T Ozdemir, S Mert",1
"T Padgham, Eric",1
"T Paganetti, Victor",1
"T Papagno, Stefano",1
"T Papounidis, Ioannis",1
"T Parts, Robin Erik",1
"T Pascual De Zulueta, Asier",1
"T Pavlasek, Adam",1
"T Pavlenko, Philipp",1
"T Pavlovic, Marko",1
"T Pawlak, Piotr",1
"T Peiro Serrano, Alvaro",1
"T Pel, Stijn",1
"T Perera, Masato",1
"T Petrovic, Drazen",1
"T Pham, Derek",1
"T Piatti, Rocco",1
"T Pierre, Hugo",1
"T Pinto, Lucca",1
"T Podorozhnyi, Artem",1
"T Pogosian, Sergei",1
"T Pohjola, Peetu",1
"T Popeanga, Dragos Petre",1
"T Popovic, Stevan",1
"T Poritzky, Elijah",1
"T Poulsen, Oskar Brostrom",1
"T Prabodh, Suraj R",1
"T Premzl, Maj",1
"T Prinoth, Patric",1
"T Procopio, Alessandro",1
"T Protic Zakelj, Jaka",1
"T Putter, Victor",1
"T Qabazard, Essa",1
"T Radulov, Iliyan",1
"T Raisma, Kenneth",1
"T Rankin, Matthew",1
"T Raquillet, Leo",1
"T Ratniuk, Maxim",1
"T Redondo Pereira, Sergio",1
"T Regas Luis, Nil",1
"T Rehman, Huzaifa Abdul",1
"T Reid, Josh",1
"T Respaut, Cyril",1
"T Ribero, Franco",1
"T Ricklis, Nitzan",1
"T Rihane, Youcef",1
"T Rocens, Martins",1
"T Rodeia, Andre",1
"T Rodrigues, Laelson",1
"T Rodrigues, Pedro",1
"T Rodriguez, Lisandru",1
"T Rodriguez, Sebastian",1
"T Rogic-Hadzalic, Alen",1
"T Romano, Gino",1
