institution_year,score
Mines ParisTech 2012,43.36
Utrecht University 2012,43.47
University of Bristol 2012,43.77
University of Nottingham 2012,43.79
University of Texas MD Anderson Cancer Center 2012,43.88
Williams College 2012,43.89
China Pharmaceutical University 2015,44.02
University of A Coruña 2015,44.02
Alexandria University 2015,44.03
Federal University of Bahia 2015,44.03
Federal University of Ceará 2015,44.03
King Abdulaziz University 2015,44.03
Ryerson University 2015,44.03
Southwest Jiaotong University 2015,44.03
University of the Algarve 2015,44.03
Xidian University 2015,44.03
Babeș-Bolyai University 2015,44.04
China Medical University (PRC) 2015,44.04
Feng Chia University 2015,44.04
Henan Normal University 2015,44.04
Mansoura University 2015,44.04
Novosibirsk State University 2015,44.04
University of Bucharest 2015,44.04
University of Pau and Pays de l'Adour 2015,44.04
Zhejiang University of Technology 2015,44.04
Beijing University of Technology 2015,44.05
Federal University of Santa Maria 2015,44.05
Shenzhen University 2015,44.05
Tianjin Medical University 2015,44.05
"University of Chemistry and Technology, Prague 2015",44.05
University of Limerick 2015,44.05
University of Reims Champagne-Ardenne 2015,44.05
Yuan Ze University 2015,44.05
Ain Shams University 2015,44.06
Chung Shan Medical University 2015,44.06
Fu Jen Catholic University 2015,44.06
Hunan Normal University 2015,44.06
Ibaraki University 2015,44.06
National University of Colombia 2015,44.06
South China Agricultural University 2015,44.06
Southern Medical University 2015,44.06
Ulsan National Institute of Science and Technology 2015,44.06
University of Puerto Rico at Mayagüez 2015,44.06
University of Silesia 2015,44.06
University of Valenciennes and Hainaut-Cambresis 2015,44.06
Amirkabir University of Technology 2015,44.07
Dokuz Eylül University 2015,44.07
Federal University of ABC 2015,44.07
Federico Santa María Technical University 2015,44.07
Harbin Engineering University 2015,44.07
Jinan University 2015,44.07
Public University of Navarre 2015,44.07
Shiraz University 2015,44.07
Third Military Medical University 2015,44.07
Gachon University 2015,44.08
Hallym University 2015,44.08
Hirosaki University 2015,44.08
Jiangsu University 2015,44.08
National Taiwan Ocean University 2015,44.08
Northwestern Polytechnical University 2015,44.08
United Arab Emirates University 2015,44.08
Xiangtan University 2015,44.08
Charles Darwin University 2015,44.09
Federal University of Pernambuco 2015,44.09
Federal University of São Carlos 2015,44.09
University of Almería 2015,44.09
"University of California, Merced 2015",44.09
University of Central Lancashire 2015,44.09
University of Jaén 2015,44.09
University of Waikato 2015,44.09
Wrocław University of Technology 2015,44.09
Yangzhou University 2015,44.09
Carlos III University of Madrid 2015,44.1
Federal University of Paraná 2015,44.1
National Taiwan Normal University 2015,44.1
National University of Córdoba 2015,44.1
Ritsumeikan University 2015,44.1
Shahid Beheshti University of Medical Sciences 2015,44.1
University of Cyprus 2015,44.1
University of Cádiz 2015,44.1
University of Texas at El Paso 2015,44.1
Jadavpur University 2015,44.11
South China Normal University 2015,44.11
University of Hyderabad 2015,44.11
Federal University of Santa Catarina 2015,44.12
Fluminense Federal University 2015,44.12
Isfahan University of Technology 2015,44.12
National Taiwan University of Science and Technology 2015,44.12
Nicolaus Copernicus University in Toruń 2015,44.12
Saitama University 2015,44.12
Tarbiat Modares University 2015,44.12
Teikyo University 2015,44.12
Trent University 2015,44.12
University of Basilicata 2015,44.12
University of Brasília 2015,44.12
University of Camerino 2015,44.12
University of Lethbridge 2015,44.12
University of North Dakota 2015,44.12
University of Wrocław 2015,44.12
China University of Geosciences (Wuhan) 2015,44.13
Fourth Military Medical University 2015,44.13
Oakland University 2015,44.13
Pukyong National University 2015,44.13
Shimane University 2015,44.13
