title,rating
A Perfect Family,0.5
Breathless,0.5
Canned Dreams,0.5
Double Face,0.5
Elisa Before the End of the World,0.5
Funeral March,0.5
Guilty Hands,0.5
Hansel & Gretel: Warriors of Witchcraft,0.5
Hush,0.5
Jett Jackson: The Movie,0.5
Lola and Billy the Kid,0.5
Lotto Land,0.5
My Mother's Courage,0.5
Point of Order!,0.5
Raghu Romeo,0.5
Stalled,0.5
The Crush,0.5
The Future,0.5
The Rise,0.5
The Spirit of '45,0.5
Two in One,0.5
Western Spaghetti,0.5
Where The Dead Go to Die,0.5
Zero Charisma,0.5
Girl Rising,0.6666666666666666
In the Eyes of the World,0.6666666666666666
An Episode in the Life of an Iron Picker,0.75
Artists Under the Big Top: Perplexed,0.75
Don King: Only in America,0.75
Queen of the Desert,0.75
RED 2,0.75
Tears of Steel,0.75
The Flim-Flam Man,0.75
Kill 'em All,0.8181818181818182
Calling Bulldog Drummond,0.8333333333333334
Dragnet Girl,0.8333333333333334
Measuring the World,0.8333333333333334
"Dude, Where’s My Car?",0.8803418803418803
Prince Valiant,0.9
Autumn Tale,0.9285714285714286
A Bottle in the Gaza Sea,1.0
A Perfect Couple,1.0
A Terrible Night,1.0
August,1.0
Below Sea Level,1.0
Cosimo and Nicole,1.0
Drift,1.0
Family Viewing,1.0
Finishing School,1.0
Food Stamped,1.0
From Above,1.0
From This Day Forward,1.0
Grandma Lo-Fi,1.0
Gulf Stream Under the Iceberg,1.0
Holi,1.0
In the West There Was a Man Named Invincible,1.0
Khumba,1.0
Left for Dead,1.0
Min and Bill,1.0
Nick the Sting,1.0
Outside the Law,1.0
Paris Was a Woman,1.0
Penelope,1.0
Pictures of the Old World,1.0
Rakht,1.0
Road North,1.0
Sağ Salim,1.0
Schwechater,1.0
Siberian Education,1.0
Still Life,1.0
The Best of Men,1.0
The Boxtrolls,1.0
The Ceremony,1.0
The Chechahcos,1.0
"The Foreign Duck, the Native Duck and God in a Coin Locker",1.0
The Luck of the Irish,1.0
The Makeover,1.0
The Phantom Light,1.0
The Strange Case of Wilhelm Reich,1.0
Traffic Affairs,1.0
Tree Without Leaves,1.0
Urban Warriors,1.0
Vazhakku Enn 18/9,1.0
Walter Defends Sarajevo,1.0
Wimps,1.0
Wrong Turn 5: Bloodlines,1.0
Ystäväni Henry,1.0
Terms and Conditions May Apply,1.0714285714285714
Paradise Lost 3: Purgatory,1.1
The Girl from Nowhere,1.125
Ape and Super-Ape,1.1666666666666667
Muppets Most Wanted,1.1666666666666667
The Young and Prodigious T.S. Spivet,1.1666666666666667
Russian Dolls,1.2031963470319635
1st to Die,1.25
Brothers,1.25
La Bohème,1.25
Les Misérables in Concert - The 25th Anniversary,1.25
Meanwhile,1.25
Rio 2096: A Story of Love and Fury,1.25
The Green Wall,1.25
The Racket,1.25
Torch Song,1.25
The Lost Valentine,1.2715827338129497
Babnik,1.2857142857142858
Dance Program,1.3
Doctor X,1.3
Celal ile Ceren,1.3333333333333333
It's in the Bag!,1.3333333333333333
The Passionate Thief,1.3333333333333333
The Phantom,1.3333333333333333
Broadway Serenade,1.35
The 7 Adventures of Sinbad,1.3571428571428572
Never So Few,1.375
Ragnarok,1.375
The Disappearance of Eleanor Rigby: Them,1.375
The Slanted Screen,1.375
Twilight of the Ice Nymphs,1.3928571428571428
Kingdom of Heaven,1.4172141918528252
Heart of Glass,1.4375
The Elusive Summer of '68,1.45
Paranoid Park,1.4558823529411764
A Carol for Another Christmas,1.4583333333333333
Emma,1.4628571428571429
55 Days at Peking,1.5
A Single Girl,1.5
Altiplano,1.5
Beneath the Darkness,1.5
Bullet,1.5
Captain America,1.5
D.O.A.,1.5
Dig That Uranium,1.5
Diving In,1.5
Encounter at Raven's Gate,1.5
Every Second Counts,1.5
Farewell to the Summer Light,1.5
Friends & Lovers,1.5
Galgameth,1.5
Gloriously Wasted,1.5
He Who Must Die,1.5
Her Master's Voice,1.5
Hyenas,1.5
Jeanne Eagels,1.5
Jesus liebt mich,1.5
Johan Falk: Spelets regler,1.5
Journey to the West: Conquering the Demons,1.5
Lights of New York,1.5
Living with Michael Jackson: A Tonight Special,1.5
Lost in Thailand,1.5
Love and Lemons,1.5
Madea's Witness Protection,1.5
Malarek,1.5
Marianne of My Youth,1.5
Monty Python - Almost the Truth (The Lawyer's Cut),1.5
Nancy Goes to Rio,1.5
Neil Young Journeys,1.5
Oxygen,1.5
Polikushka,1.5
Reconversão,1.5
Rock Hudson's Home Movies,1.5
Runner Runner,1.5
Secret Society,1.5
Service,1.5
Shakespeare Wallah,1.5
Shanghai Calling,1.5
Teenage Mutant Ninja Turtles,1.5
The Act of Seeing with One's Own Eyes,1.5
The Age of Love,1.5
The Argyle Secrets,1.5
The Brain from Planet Arous,1.5
The Clairvoyant,1.5
The Cool Ones,1.5
The Court-Martial of Billy Mitchell,1.5
The Last Remake of Beau Geste,1.5
The Other,1.5
The Outrage,1.5
The Rambler,1.5
The Spiritual Boxer,1.5
The Thieves,1.5
Unguarded,1.5
With Friends Like These...,1.5
Vaastav: The Reality,1.5384615384615385
Something's Gonna Live,1.5416666666666667
Don't Look Now: We're Being Shot At,1.5493827160493827
My Blueberry Nights,1.5546875
A Chef in Love,1.5555555555555556
The World is Big and Salvation Lurks Around the Corner,1.5714285714285714
Romance in a Minor Key,1.5833333333333333
Bis zum Ellenbogen,1.5866666666666667
The Little Drummer Girl,1.59375
Man of the Year,1.6
Outlaw Blues,1.6
The Immoral Mr. Teas,1.6014760147601477
Dr. Cyclops,1.6077819392426134
The 6th Day,1.619047619047619
Hatchet II,1.6203995793901156
