full_name,h_meters
Nate Robinson,1.75
Brevin Knight,1.78
Mike Wilks,1.78
Chucky Atkins,1.8
Speedy Claxton,1.8
Aaron Brooks,1.83
Allen Iverson,1.83
Chris Paul,1.83
D.J. Augustin,1.83
Dee Brown,1.83
Jameer Nelson,1.83
Jose Barea,1.83
Kyle Lowry,1.83
Sean Singletary,1.83
Sebastian Telfair,1.83
T.J. Ford,1.83
Tyronn Lue,1.83
Will Bynum,1.83
Bobby Jackson,1.85
Chris Duhon,1.85
Derek Fisher,1.85
Earl Watson,1.85
Eddie House,1.85
Jacque Vaughn,1.85
Mario Chalmers,1.85
Mike Conley,1.85
Mo Williams,1.85
Rajon Rondo,1.85
Raymond Felton,1.85
Travis Diener,1.85
Will Solomon,1.85
Andre Miller,1.88
Anthony Carter,1.88
Anthony Roberson,1.88
Bobby Brown,1.88
C.J. Watson,1.88
Chris Quinn,1.88
Daniel Gibson,1.88
George Hill,1.88
Jason Terry,1.88
Jordan Farmar,1.88
Kevin Ollie,1.88
Louis Williams,1.88
Luke Ridnour,1.88
Marcus Banks,1.88
Mike Bibby,1.88
Mike James,1.88
Mike Taylor,1.88
Rafer Alston,1.88
Ronnie Price,1.88
Stephon Marbury,1.88
Tony Parker,1.88
Acie Law,1.91
Anthony Johnson,1.91
Baron Davis,1.91
Ben Gordon,1.91
Beno Udrih,1.91
Charlie Bell,1.91
Chauncey Billups,1.91
Damon Jones,1.91
Delonte West,1.91
Deron Williams,1.91
Derrick Rose,1.91
Devin Harris,1.91
Eric Gordon,1.91
Eric Snow,1.91
Jamaal Tinsley,1.91
Jarrett Jack,1.91
Jason Hart,1.91
Jerryd Bayless,1.91
Jose Calderon,1.91
Juan Dixon,1.91
Keyon Dooling,1.91
Kirk Hinrich,1.91
Leandro Barbosa,1.91
Luther Head,1.91
Marcus Williams,1.91
Quincy Douby,1.91
Ramon Sessions,1.91
Ronald Murray,1.91
Russell Westbrook,1.91
Sam Cassell,1.91
Sergio Rodriguez,1.91
Steve Blake,1.91
Steve Francis,1.91
Steve Nash,1.91
Willie Green,1.91
Antonio Daniels,1.93
Cuttino Mobley,1.93
DeMarcus Nelson,1.93
Dwyane Wade,1.93
Gabe Pruitt,1.93
Gilbert Arenas,1.93
Goran Dragic,1.93
Greg Buckner,1.93
Hassan Adams,1.93
J.J. Redick,1.93
Jason Kidd,1.93
O.J. Mayo,1.93
Randy Foye,1.93
Rashad McCants,1.93
Royal Ivey,1.93
Shannon Brown,1.93
Tony Allen,1.93
Alex Acker,1.96
Anthony Morrow,1.96
Arron Afflalo,1.96
Courtney Lee,1.96
Daequan Cook,1.96
DeShawn Stevenson,1.96
Desmon Farmer,1.96
Desmond Mason,1.96
Devin Brown,1.96
Ime Udoka,1.96
J.R. Giddens,1.96
Jamal Crawford,1.96
Javaris Crittenton,1.96
Keith Bogans,1.96
Kelenna Azubuike,1.96
Larry Hughes,1.96
Marco Belinelli,1.96
Mario West,1.96
Maurice Ager,1.96
Maurice Evans,1.96
Raja Bell,1.96
Ray Allen,1.96
Rodney Stuckey,1.96
Roger Mason,1.96
Roko Ukic,1.96
Thomas Gardner,1.96
Trenton Hassell,1.96
Von Wafer,1.96
Alando Tucker,1.98
Andre Iguodala,1.98
Anthony Parker,1.98
Bill Walker,1.98
Bobby Simmons,1.98
Brandon Roy,1.98
Brandon Rush,1.98
C.J. Miles,1.98
Chuck Hayes,1.98
Corey Maggette,1.98
Dahntay Jones,1.98
Damien Wilkins,1.98
J.R. Smith,1.98
Jason Richardson,1.98
Jerry Stackhouse,1.98
John Salmons,1.98
Kareem Rush,1.98
Kobe Bryant,1.98
Kyle Weaver,1.98
Manu Ginobili,1.98
Mardy Collins,1.98
Marquis Daniels,1.98
Matt Carroll,1.98
Michael Redd,1.98
Mickael Pietrus,1.98
Morris Almond,1.98
Nick Young,1.98
Quentin Richardson,1.98
Quinton Ross,1.98
Rudy Fernandez,1.98
Sonny Weems,1.98
Stephen Graham,1.98
Tarence Kinsey,1.98
Vince Carter,1.98
Aleksandar Pavlovic,2.01
Andres Nocioni,2.01
Antoine Wright,2.01
Brent Barry,2.01
Bruce Bowen,2.01
Caron Butler,2.01
Chris Douglas-Roberts,2.01
Craig Smith,2.01
Francisco Garcia,2.01
Gerald Wallace,2.01
Jared Dudley,2.01
Jason Maxiell,2.01
Jeremy Richardson,2.01
Joe Johnson,2.01
Joey Graham,2.01
Josh Howard,2.01
Kenny Thomas,2.01
Kevin Martin,2.01
Kyle Korver,2.01
Malik Rose,2.01
Marko Jaric,2.01
Martell Webster,2.01
Matt Barnes,2.01
Matt Harpring,2.01
Michael Finley,2.01
Morris Peterson,2.01
Paul Pierce,2.01
Rasual Butler,2.01
Richard Hamilton,2.01
Richard Jefferson,2.01
Ricky Davis,2.01
Rodney Carney,2.01
Ron Artest,2.01
Ronnie Brewer,2.01
Ryan Gomes,2.01
Sasha Vujacic,2.01
Shaun Livingston,2.01
Shawn Marion,2.01
Thabo Sefolosha,2.01
Wally Szczerbiak,2.01
Yakhouba Diawara,2.01
Adam Morrison,2.03
Al Thornton,2.03
Anthony Tolliver,2.03
Boris Diaw,2.03
Brandon Bass,2.03
Brian Cardinal,2.03
Carmelo Anthony,2.03
Danny Granger,2.03
Demetris Nichols,2.03
Devean George,2.03
Eduardo Najera,2.03
Gerald Green,2.03
Grant Hill,2.03
Jamario Moon,2.03
James Jones,2.03
James Posey,2.03
James Singleton,2.03
Jarvis Hayes,2.03
Jason Kapono,2.03
Joe Alexander,2.03
Joey Dorsey,2.03
Julian Wright,2.03
LeBron James,2.03
Leon Powe,2.03
Linas Kleiza,2.03
Linton Johnson III,2.03
Luc Mbah a Moute,2.03
Luke Walton,2.03
Michael Ruffin,2.03
Mike Miller,2.03
Nicolas Batum,2.03
Othello Hunter,2.03
Paul Millsap,2.03
Reggie Evans,2.03
Renaldo Balkman,2.03
Rudy Gay,2.03
Shane Battier,2.03
Stephen Jackson,2.03
Thaddeus Young,2.03
Tracy McGrady,2.03
Trevor Ariza,2.03
Udonis Haslem,2.03
Wilson Chandler,2.03
Al Harrington,2.06
Amir Johnson,2.06
Andre Brown,2.06
Andrei Kirilenko,2.06
Antawn Jamison,2.06
Antoine Walker,2.06
Antonio McDyess,2.06
Ben Wallace,2.06
Brian Cook,2.06
Brian Scalabrine,2.06
Brian Skinner,2.06
Carl Landry,2.06
Carlos Boozer,2.06
Cedric Simmons,2.06
Corey Brewer,2.06
D.J. White,2.06
Darius Songaila,2.06
Darnell Jackson,2.06
Darrell Arthur,2.06
David Lee,2.06
David West,2.06
Dominic McGuire,2.06
Donyell Marshall,2.06
Dorell Wright,2.06
Elton Brand,2.06
Glen Davis,2.06
Hakim Warrick,2.06
Ike Diogu,2.06
J.J. Hickson,2.06
Jawad Williams,2.06
Jeff Green,2.06
Joel Anthony,2.06
Josh Powell,2.06
Josh Smith,2.06
Kenyon Martin,2.06
Kevin Durant,2.06
Kris Humphries,2.06
Kurt Thomas,2.06
Louis Amundson,2.06
Luis Scola,2.06
Luol Deng,2.06
Mark Madsen,2.06
Marvin Williams,2.06
Michael Beasley,2.06
Mike Dunleavy,2.06
Richard Hendrix,2.06
Rob Kurz,2.06
Ryan Bowen,2.06
Sean May,2.06
Shawne Williams,2.06
Shelden Williams,2.06
Tayshaun Prince,2.06
Travis Outlaw,2.06
Tyrus Thomas,2.06
Walter Herrmann,2.06
Walter Sharpe,2.06
Zach Randolph,2.06
Adonal Foyle,2.08
Al Horford,2.08
Al Jefferson,2.08
Amar'e Stoudemire,2.08
Anthony Randolph,2.08
Austin Croshere,2.08
Brandan Wright,2.08
Chris Andersen,2.08
Chris Bosh,2.08
Chris Wilcox,2.08
Danilo Gallinari,2.08
Drew Gooden,2.08
Emeka Okafor,2.08
Etan Thomas,2.08
Fabricio Oberto,2.08
Hedo Turkoglu,2.08
Joe Smith,2.08
Josh Boone,2.08
Josh McRoberts,2.08
Kendrick Perkins,2.08
Kevin Love,2.08
Lamar Odom,2.08
Maceo Baston,2.08
Malik Allen,2.08
Marreese Speights,2.08
Matt Bonner,2.08
Melvin Ely,2.08
Nathan Jawai,2.08
Nazr Mohammed,2.08
Nick Collison,2.08
Peja Stojakovic,2.08
Rashard Lewis,2.08
Ronny Turiaf,2.08
Ryan Anderson,2.08
Sean Marks,2.08
Sean Williams,2.08
Shavlik Randolph,2.08
Solomon Jones,2.08
Steve Novak,2.08
Stromile Swift,2.08
Theo Ratliff,2.08
Tim Thomas,2.08
Vladimir Radmanovic,2.08
Anderson Varejao,2.11
Andray Blatche,2.11
Andris Biedrins,2.11
Calvin Booth,2.11
Channing Frye,2.11
Charlie Villanueva,2.11
Dan Gadzuric,2.11
DeAndre Jordan,2.11
Donte Greene,2.11
Dwight Howard,2.11
Eddy Curry,2.11
Erick Dampier,2.11
Hilton Armstrong,2.11
Ian Mahinmi,2.11
Jamaal Magloire,2.11
Jared Jeffries,2.11
Jarron Collins,2.11
Jason Thompson,2.11
Jeff Foster,2.11
Jermaine O'Neal,2.11
Joakim Noah,2.11
Kevin Garnett,2.11
Kwame Brown,2.11
LaMarcus Aldridge,2.11
Lorenzen Wright,2.11
Marcin Gortat,2.11
Marcus Camby,2.11
Mehmet Okur,2.11
Mouhamed Sene,2.11
Paul Davis,2.11
Raef LaFrentz,2.11
Randolph Morris,2.11
Rasheed Wallace,2.11
Samuel Dalembert,2.11
Tim Duncan,2.11
Tony Battie,2.11
Troy Murphy,2.11
Zaza Pachulia,2.11
Aaron Gray,2.13
Alexis Ajinca,2.13
Andrea Bargnani,2.13
Andrew Bogut,2.13
Andrew Bynum,2.13
Brad Miller,2.13
Brendan Haywood,2.13
Brook Lopez,2.13
Chris Kaman,2.13
Chris Mihm,2.13
Darko Milicic,2.13
DeSagana Diop,2.13
Didier Ilunga-Mbenga,2.13
Dirk Nowitzki,2.13
Francisco Elson,2.13
Greg Oden,2.13
JaVale McGee,2.13
Jason Collins,2.13
Jason Smith,2.13
Johan Petro,2.13
Kosta Koufos,2.13
Mark Blount,2.13
Mikki Moore,2.13
Oleksiy Pecherov,2.13
Patrick O'Bryant,2.13
Pau Gasol,2.13
Rasho Nesterovic,2.13
Robin Lopez,2.13
Ryan Hollins,2.13
Spencer Hawes,2.13
Steven Hill,2.13
Steven Hunter,2.13
Yi Jianlian,2.13
Cheikh Samb,2.16
Jerome James,2.16
Joel Przybilla,2.16
Kyrylo Fesenko,2.16
Marc Gasol,2.16
Robert Swift,2.16
Shaquille O'Neal,2.16
Tyson Chandler,2.16
Hamed Haddadi,2.18
Roy Hibbert,2.18
Zydrunas Ilgauskas,2.21
Yao Ming,2.29
