university_year,total_score
Arizona State University - Tempe 2006,23.5
University of Roma - La Sapienza 2006,23.5
Ecole Normale Superieure - Paris 2006,23.6
Emory University 2009,23.8
Tokyo Institute of Technology 2007,23.8
University of Bonn 2007,23.8
University of Strasbourg 2007,23.8
Lund University 2007,23.9
Rice University 2009,23.9
Texas A&M University 2015,23.9
Tufts University 2005,23.9
University of Iowa 2007,23.9
Arizona State University - Tempe 2007,24.0
Michigan State University 2015,24.0
Nagoya University 2006,24.0
Rice University 2010,24.0
University of Birmingham 2010,24.0
VU University Amsterdam 2014,24.0
Georgia Institute of Technology 2014,24.1
Indiana University Bloomington 2006,24.1
Lund University 2008,24.1
Nagoya University 2007,24.1
Rice University 2008,24.1
University of Bonn 2008,24.1
University of Bonn 2009,24.1
University of Freiburg 2007,24.1
University of Sydney 2008,24.1
Aarhus University 2009,24.2
Aarhus University 2010,24.2
KU Leuven 2014,24.2
Swiss Federal Institute of Technology Lausanne 2014,24.2
Texas A & M University 2014,24.2
Texas A&M University - College Station 2011,24.2
University of Frankfurt 2011,24.2
University of Freiburg 2008,24.2
University of Strasbourg 2006,24.2
VU University Amsterdam 2015,24.2
Arizona State University - Tempe 2009,24.3
Case Western Reserve University 2010,24.3
Case Western Reserve University 2012,24.3
Lund University 2005,24.3
University of Birmingham 2009,24.3
University of Bonn 2015,24.3
University of Freiburg 2012,24.3
University of Iowa 2006,24.3
University of Sydney 2009,24.3
University of Utah 2007,24.3
Case Western Reserve University 2011,24.4
Indiana University Bloomington 2009,24.4
McMaster University 2015,24.4
Michigan State University 2012,24.4
Nagoya University 2012,24.4
The University of Sheffield 2011,24.4
The University of Western Australia 2012,24.4
Tohoku University 2011,24.4
University of Birmingham 2005,24.4
University of Virginia 2008,24.4
Aarhus University 2008,24.5
Arizona State University - Tempe 2008,24.5
Arizona State University 2015,24.5
University of Birmingham 2007,24.5
"University of California, Santa Cruz 2015",24.5
University of Roma - La Sapienza 2005,24.5
University of Strasbourg 2014,24.5
University of Sydney 2011,24.5
University of Utah 2006,24.5
University of Utah 2015,24.5
University of Virginia 2010,24.5
Ecole Normale Superieure - Paris 2005,24.6
Indiana University Bloomington 2008,24.6
McMaster University 2009,24.6
Stockholm University 2005,24.6
Texas A&M University - College Station 2012,24.6
Tokyo Institute of Technology 2005,24.6
University of Bonn 2014,24.6
University of Freiburg 2006,24.6
University of Sydney 2012,24.6
University of Utah 2005,24.6
University of Virginia 2009,24.6
University of Warwick 2015,24.6
Weizmann Institute of Science 2012,24.6
KU Leuven 2015,24.7
Lund University 2006,24.7
McMaster University 2006,24.7
Nagoya University 2011,24.7
University of Arizona 2015,24.7
University of Birmingham 2006,24.7
University of Bonn 2011,24.7
"University of California, Santa Cruz 2014",24.7
University of Strasbourg 2005,24.7
University of Strasbourg 2013,24.7
University of Sydney 2013,24.7
McMaster University 2014,24.8
Rice University 2011,24.8
Texas A&M University - College Station 2007,24.8
Texas A&M University - College Station 2010,24.8
University of Basel 2014,24.8
University of Birmingham 2008,24.8
University of Rochester 2014,24.8
Arizona State University 2014,24.9
Indiana University Bloomington 2007,24.9
McMaster University 2005,24.9
McMaster University 2013,24.9
Michigan State University 2013,24.9
Rice University 2013,24.9
The University of Western Australia 2014,24.9
The University of Western Australia 2015,24.9
University of Basel 2015,24.9
University of Bonn 2010,24.9
University of Freiburg 2005,24.9
University of Goettingen 2008,24.9
University of Goettingen 2009,24.9
